video_title,video_id,comment_author,comment_text,comment_likes
CRICIÚMA 0x1 VITÓRIA - 34ª RODADA BRASILEIRÃO 2024 (SEM IMAGENS),SrKHkJG5fU8,@flamenguistayt,Valeu!,0
PALPITES ESTRELA⭐BET | TIAGO MARQUES,txd7NcaUehc,@brumopetrus2630,Que negócio difícil está estrela bet oxe,0
PALPITES ESTRELA⭐BET | TIAGO MARQUES,txd7NcaUehc,@jcsampaoficial5172,Como joga nesse estrela beta???,1
PALPITES ESTRELA⭐BET | TIAGO MARQUES,txd7NcaUehc,@patriciasantos2180,🥰🥰🥰🥰🥰,0
PALPITES ESTRELA⭐BET | TIAGO MARQUES,txd7NcaUehc,@MarcoAntonio_ds,Tá acontecendo 🔥,3
PALPITES ESTRELA⭐BET | TIAGO MARQUES,txd7NcaUehc,@lucasfelipe6563,Dale tigre 🐯🟡🟨🐅🐯🐅🐯🐅🐯,2
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@capivarasuspeita,Não teme como não simpatizar com o criciuma,0
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@COSSTA,"Que torcida linda essa do Criciúma 🤩 
Saudações Corinthianas ⚫⚪",1
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@RicardoSilva-jq9qe,"Parece estádio inglês, aquele igual do chelsea",1
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@danieltjrusso,Um recado ao mistos: Vocês nunca vão entender o que é nossa paixão!,1
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@guerreiro520,"sou gremista mas simpatizo com o tigre, parabéns",0
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@JrRamos1234,"Bem vindos de volta, vai ser sensacional assistir os jogos do Criciúma, saudações santistas",5
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@amisticadastorcidas,"INCRIVEL, PARABENS  pelo acesso 
 CRICIUMA E TODA SUA TORCIDA.... EM BREVE FAREMOS  UM VIDEO PARA HOMENAGEA-LOS....",6
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@iwatzflux3893,Maiores que o Figueirense com toda certeza.,1
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@GustavoHenrique-hn9mc,A serie A merece uma torcida como essa para iluminar o elitismo da principal liga brasileira. Parabens Tigre,2
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@RicardoSilva-fq9eg,"Sou de Ribeirão Preto, torcedor do Comercial F.C. e do São Paulo F.C. parabéns a vocês pelo acesso, é uma honra ter vocês de volta a elite. Parabéns. *CHUPA* *BOTAFOGO* 😅",11
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@h.castro3367,"Esse técnico é muito bom, fez milagre por anos no Londrina (é só ver onde o clube parou sem ele), merece disputar agora uma Série A. Torci pela volta do tradicional Criciúma, um campeão nacional de elite por Santa Catarina é coisa pra se reverenciar sempre.",6
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@maiconluizdasilva8960,O Maior de Santa Catarina 💛🖤💛,7
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@EDUARDOFernandez-if1om,maior do sul,2
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@o_corretor,vizeu represento,1
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@kiabbo182,CRICIÚMA: O TIME DE SANTA CATARINA!,3
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@rodrigocasagrandeblosfeld8869,"Cara que não se arrepia com esse vídeo,  não tem sangue correndo nas veias 👏👏",1
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@kolleenmilles686,Eu estava com meu filho neste jogo do acesso e posso dizer que ficará na minha memória para sempre! O clima e a atmosfera do Majestoso estavam como em 2002 quando Paulo Baier fez 3 gols contra o Fortaleza na final da série B daquele ano!,5
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@mariawarmling3055,"Assim meu fraco coração não aguenta ,vamos buscar mais uma taça tigre parabéns a todos nós carvoeiro.",1
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@jeffersonricardo-kg7tb,eeu acho mt fd a torcida do criciuma e as cores tbm mt toppp parabens pelo acesso...a serie A. E meu paysandu subiu pra b vamosssss mais uma vez parabens Tigre,5
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@Raulvitorbn3,foda!,0
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@caiquesilva4171,"Saudações Santistas , sejam bem vindos a 1 divisão Criciúma 🏳️🇧🇷",17
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@bTlMaN,Como eu amo esse clube mano pqp,7
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@pensooque,🎉,2
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@klebergoncalvescordeiro4198,"Que festa bonita, somos série A, chupa Avaí e Figueira",3
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@Michael-zp8ud,Nada para essa loucura! 🐅,4
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@claudia.machado,💛🖤🐯,2
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@HoKatechon,Homens de muita fé!,4
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@robsonbosa9462,💛💪,2
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@abnergomesclaudino8283,Vamos tigreeeee!,2
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@pr.celiorosa929,Esse time já nasceu campeão,2
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@Xandyluh,Achei que já tinha assistido todos os vídeos desse acesso😂😂😂 o Brasil todo assistiu o tigre subir...,11
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@glaidsonberlanda,"Sou carvoeiro sim senhor! Do SUL eu sou, daria a vida só para te ver campeão...",3
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@LMComercioevarejo,"Caraca, até me arrepiei aqui",4
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@srcreepert3225,Vamoooo,2
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@Italianuaecrua,Pra sempre Criciúma e nada mais! Série A é o nosso lugar! Dá-lhe tigre!!,6
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@pedrodemetrio1485,Eu participei dessa festa...parabéns tigre.,3
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@sandroaparecido2756,Parabéns Criciúma,4
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@ederborges9600,"Histórico! Que campanha! Série A, meu tigre!!!",5
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@Bacciliere,"Sou torcedor do São Paulo e estou feliz em ver o Criciúma de volta!!!
Boooa Tigre !!!",17
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@alexandrevirtuoso3234,"Se preparem 1 Divisão o tigre 🐅  voltou com fome da série A  ele veio para a sua estrela 🌟 a Brilhar sempre,parabéns tigre 🐅  em breve eu estarei aí com vocês abraços do Alexandre Artur Virtuoso",3
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@leandromenezes1376,"Parabéns pelo acesso a Série A,Tigre.",4
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@rodrigoprestessantistadesd2807,"ESSE TENCATI É UM EXEMPLO DE SER HUMANO.... QUE MERECIMENTO foi esse acesso... MERECEM MUITO MAIS! 

NÓS ESTAMOS BEM REPRESENTADOS NA SÉRIE A.... 

Minha Santa Catarina ❤",6
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@lucianodebemjossue8940,Amém,2
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@leomagagnin7042,"Quem não se emociona com isso ta morto por dentro!!!
Dá-lhe Tigreee",11
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@Semcortesemfiltro,Podia rolar um dvd de 2023 né. Comprava fácil,3
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@joaovictort,E por isso eu nunca vou te abandonar 🐯🐅,4
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@nayllson10,"Sou Vascaíno, más estou aqui pelo o carinho que sinto pelo o Tigrão. Bem-Vindos a Série A, vocês merecem muito! 💛🖤",23
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@raimundodiasneto5973,Criciúma Gigante,6
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@joaoluizbettiol7089,Parabéns Criciúma,3
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@wesleiraupp1981,Voltamos 🐯,4
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@joaofmb2630,outra vez na primeira o tigre estará....vamoooo,3
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@julianobenvenutoguidi7868,Valeu Tigre!!! Série A aí vamos nós 🚀🚀🚀,4
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@pmudo,Sou carvoeiro sim senhor.....,4
BASTIDORES - ESPECIAL JOGO DO ACESSO - CRICIÚMA 3x0 BOTAFOGO-SP,gjFnxaWqNNA,@mateusmazzucco4780,Entraram para história! Bonito de ver a gana pelo acesso.,7
CRICIÚMA 2x1 ATLÉTICO-MG - 21ª RODADA BRASILEIRÃO 2024 (SEM IMAGENS),ShnSQgRXbbk,@marcus1971100,Galo freguês do Criciúma 😂😂😂😂,0
CRICIÚMA 2x1 ATLÉTICO-MG - 21ª RODADA BRASILEIRÃO 2024 (SEM IMAGENS),ShnSQgRXbbk,@marcus1971100,Parabéns pela rezenha🎉🎉🎉,1
Eu Acredito - Filme do acesso do Criciúma E.C. a Série A,xe2u459M64k,@arthurtuca7350,"Hoje estamos aqui de volta a serie A,meus amigosss",0
Eu Acredito - Filme do acesso do Criciúma E.C. a Série A,xe2u459M64k,@tulymds,SABADO TEM DE NOVO!,0
Eu Acredito - Filme do acesso do Criciúma E.C. a Série A,xe2u459M64k,@gersonfernandes5141,Eu choro com este time amado,0
Eu Acredito - Filme do acesso do Criciúma E.C. a Série A,xe2u459M64k,@GuiPaladini2001,Esse ano vamos subir de novo ❤,1
Eu Acredito - Filme do acesso do Criciúma E.C. a Série A,xe2u459M64k,@eduardolodetti7756,Esse gurizao que falou no final representou o torcedor raiz que vai pela camisa e não resultado,0
Eu Acredito - Filme do acesso do Criciúma E.C. a Série A,xe2u459M64k,@silvio9448,Eu sou Criciúma com muito orgulho,1
